Epoch	Learning Rate	Train Loss	Test Loss	Train Acc.	Test Acc.	Train Acc5.	Test Acc5.	
0	0.100000	2.189750	n/a	16.200000	n/a	75.936000	n/a	
1	0.100000	2.093678	n/a	24.762000	n/a	84.460000	n/a	
2	0.100000	2.094366	n/a	27.190000	n/a	84.896000	n/a	
3	0.100000	2.067208	n/a	25.596000	n/a	86.036000	n/a	
4	0.100000	2.048967	n/a	29.382000	n/a	87.472000	n/a	
5	0.100000	2.067078	n/a	28.466000	n/a	84.984000	n/a	
6	0.100000	2.060490	n/a	30.798000	n/a	86.510000	n/a	
7	0.100000	2.023437	n/a	39.460000	n/a	88.708000	n/a	
8	0.100000	2.017025	n/a	35.916000	n/a	88.106000	n/a	
9	0.100000	2.024408	n/a	39.910000	n/a	88.178000	n/a	
10	0.100000	2.022481	n/a	37.834000	n/a	90.088000	n/a	
11	0.100000	2.027614	n/a	47.088000	n/a	89.948000	n/a	
12	0.100000	2.013759	n/a	25.660000	n/a	90.094000	n/a	
13	0.100000	1.994532	n/a	38.762000	n/a	91.616000	n/a	
14	0.100000	2.012184	n/a	54.028000	n/a	90.930000	n/a	
15	0.100000	2.036463	n/a	44.702000	n/a	88.296000	n/a	
16	0.100000	2.041878	n/a	40.824000	n/a	88.752000	n/a	
17	0.100000	2.063541	n/a	44.392000	n/a	86.640000	n/a	
18	0.100000	2.043341	n/a	44.294000	n/a	88.828000	n/a	
19	0.100000	2.024467	n/a	41.362000	n/a	89.444000	n/a	
20	0.100000	2.010401	n/a	45.504000	n/a	89.542000	n/a	
21	0.100000	1.998050	n/a	49.524000	n/a	90.780000	n/a	
22	0.100000	1.998810	n/a	48.292000	n/a	89.748000	n/a	
23	0.100000	2.031135	n/a	40.968000	n/a	89.428000	n/a	
24	0.100000	1.991162	n/a	38.544000	n/a	91.284000	n/a	
25	0.100000	2.024854	n/a	43.882000	n/a	88.994000	n/a	
26	0.100000	2.019318	n/a	30.280000	n/a	89.274000	n/a	
27	0.100000	2.037249	n/a	37.666000	n/a	90.100000	n/a	
28	0.100000	2.050309	n/a	35.846000	n/a	89.704000	n/a	
29	0.100000	2.006910	n/a	43.722000	n/a	90.968000	n/a	
30	0.100000	2.030520	n/a	38.988000	n/a	88.496000	n/a	
31	0.100000	2.013514	n/a	44.918000	n/a	91.172000	n/a	
32	0.100000	1.983646	n/a	48.580000	n/a	91.308000	n/a	
33	0.100000	2.012459	n/a	53.172000	n/a	90.606000	n/a	
34	0.100000	2.014776	n/a	47.894000	n/a	90.436000	n/a	
35	0.100000	2.018627	n/a	50.926000	n/a	90.706000	n/a	
36	0.100000	2.007207	n/a	54.318000	n/a	91.102000	n/a	
37	0.100000	2.007093	n/a	54.844000	n/a	91.408000	n/a	
38	0.100000	2.019257	n/a	46.660000	n/a	90.816000	n/a	
39	0.100000	2.006531	n/a	45.548000	n/a	91.260000	n/a	
40	0.100000	2.016355	n/a	44.170000	n/a	90.812000	n/a	
41	0.100000	2.021412	n/a	49.008000	n/a	90.816000	n/a	
42	0.100000	2.035516	n/a	38.426000	n/a	88.286000	n/a	
43	0.100000	1.958440	n/a	35.852000	n/a	92.924000	n/a	
44	0.100000	1.979600	n/a	49.476000	n/a	92.376000	n/a	
45	0.100000	2.017340	n/a	35.878000	n/a	90.400000	n/a	
46	0.100000	2.025978	n/a	37.166000	n/a	89.518000	n/a	
47	0.100000	2.027032	n/a	48.016000	n/a	89.536000	n/a	
48	0.100000	2.010242	n/a	52.128000	n/a	91.732000	n/a	
49	0.100000	2.022120	n/a	42.576000	n/a	89.728000	n/a	
50	0.100000	2.029930	n/a	35.994000	n/a	88.408000	n/a	
51	0.100000	2.013711	n/a	44.528000	n/a	91.516000	n/a	
52	0.100000	2.001044	n/a	35.636000	n/a	90.898000	n/a	
53	0.100000	2.016564	n/a	35.520000	n/a	90.682000	n/a	
54	0.100000	2.013513	n/a	41.222000	n/a	91.978000	n/a	
55	0.100000	2.015571	n/a	47.670000	n/a	90.796000	n/a	
56	0.100000	1.996866	n/a	42.464000	n/a	91.846000	n/a	
57	0.100000	1.990031	n/a	45.842000	n/a	91.616000	n/a	
58	0.100000	2.049189	n/a	48.630000	n/a	89.394000	n/a	
59	0.100000	2.050368	n/a	41.588000	n/a	89.262000	n/a	
60	0.100000	1.997364	n/a	36.090000	n/a	90.856000	n/a	
61	0.100000	2.039545	n/a	46.142000	n/a	89.530000	n/a	
62	0.100000	2.027100	n/a	50.074000	n/a	89.660000	n/a	
63	0.100000	2.006586	n/a	53.288000	n/a	91.274000	n/a	
64	0.100000	2.046992	n/a	44.040000	n/a	87.934000	n/a	
65	0.100000	2.021659	n/a	49.740000	n/a	88.792000	n/a	
