Epoch	Learning Rate	Train Loss	Test Loss	Train Acc.	Test Acc.	Train Acc5.	Test Acc5.	
0	0.010000	1.613753	n/a	9.998000	n/a	50.282000	n/a	
1	0.010000	0.777360	n/a	15.200000	n/a	65.386000	n/a	
2	0.010000	0.476152	n/a	29.106000	n/a	80.508000	n/a	
3	0.010000	0.417479	n/a	39.420000	n/a	85.056000	n/a	
4	0.010000	0.388591	n/a	44.336000	n/a	86.902000	n/a	
5	0.010000	0.359922	n/a	49.044000	n/a	88.798000	n/a	
6	0.010000	0.341670	n/a	52.512000	n/a	89.594000	n/a	
7	0.010000	0.317746	n/a	55.798000	n/a	90.700000	n/a	
8	0.010000	0.294038	n/a	59.034000	n/a	92.042000	n/a	
9	0.010000	0.276978	n/a	61.416000	n/a	92.816000	n/a	
10	0.010000	0.266577	n/a	63.380000	n/a	93.040000	n/a	
11	0.010000	0.254433	n/a	65.084000	n/a	93.626000	n/a	
12	0.010000	0.244747	n/a	66.468000	n/a	93.988000	n/a	
13	0.010000	0.232000	n/a	68.268000	n/a	94.598000	n/a	
14	0.010000	0.224981	n/a	69.358000	n/a	94.724000	n/a	
15	0.010000	0.216848	n/a	70.642000	n/a	94.896000	n/a	
16	0.010000	0.208200	n/a	71.736000	n/a	95.338000	n/a	
17	0.010000	0.199249	n/a	73.010000	n/a	95.730000	n/a	
18	0.010000	0.193547	n/a	73.954000	n/a	95.762000	n/a	
19	0.010000	0.188998	n/a	74.674000	n/a	95.870000	n/a	
20	0.010000	0.183530	n/a	75.306000	n/a	96.042000	n/a	
21	0.010000	0.175995	n/a	76.460000	n/a	96.402000	n/a	
22	0.010000	0.170423	n/a	77.100000	n/a	96.444000	n/a	
23	0.010000	0.165035	n/a	77.878000	n/a	96.602000	n/a	
24	0.010000	0.159794	n/a	78.588000	n/a	96.656000	n/a	
25	0.010000	0.156063	n/a	79.166000	n/a	96.822000	n/a	
26	0.010000	0.151452	n/a	79.782000	n/a	96.970000	n/a	
27	0.010000	0.146360	n/a	80.518000	n/a	97.064000	n/a	
28	0.010000	0.141262	n/a	80.988000	n/a	97.370000	n/a	
29	0.010000	0.137201	n/a	81.500000	n/a	97.304000	n/a	
30	0.010000	0.135265	n/a	81.934000	n/a	97.472000	n/a	
31	0.010000	0.131042	n/a	82.544000	n/a	97.486000	n/a	
32	0.010000	0.129833	n/a	82.876000	n/a	97.428000	n/a	
