Epoch	Learning Rate	Train Loss	Test Loss	Train Acc.	Test Acc.	Train Acc5.	Test Acc5.	
0	0.100000	0.967972	n/a	10.800000	n/a	52.228000	n/a	
1	0.100000	0.578399	n/a	11.516000	n/a	56.626000	n/a	
2	0.100000	0.595664	n/a	10.802000	n/a	51.646000	n/a	
3	0.100000	0.582038	n/a	11.356000	n/a	55.604000	n/a	
4	0.100000	0.552663	n/a	13.214000	n/a	64.442000	n/a	
5	0.100000	0.551355	n/a	13.454000	n/a	65.770000	n/a	
6	0.100000	0.501269	n/a	15.050000	n/a	72.204000	n/a	
7	0.100000	0.491245	n/a	15.604000	n/a	74.420000	n/a	
8	0.100000	0.487259	n/a	15.882000	n/a	75.368000	n/a	
9	0.100000	0.485157	n/a	16.146000	n/a	76.446000	n/a	
10	0.100000	0.484217	n/a	16.454000	n/a	77.202000	n/a	
11	0.100000	0.480015	n/a	18.752000	n/a	78.602000	n/a	
12	0.100000	0.479526	n/a	21.474000	n/a	79.706000	n/a	
13	0.100000	0.476353	n/a	22.588000	n/a	81.408000	n/a	
14	0.100000	0.474395	n/a	23.344000	n/a	81.872000	n/a	
15	0.100000	0.471534	n/a	25.130000	n/a	83.610000	n/a	
16	0.100000	0.470717	n/a	24.804000	n/a	83.926000	n/a	
17	0.100000	0.467278	n/a	33.670000	n/a	84.946000	n/a	
18	0.100000	0.463936	n/a	34.028000	n/a	86.088000	n/a	
19	0.100000	0.460514	n/a	34.290000	n/a	87.160000	n/a	
20	0.100000	0.457522	n/a	36.144000	n/a	87.788000	n/a	
21	0.100000	0.455652	n/a	36.578000	n/a	88.314000	n/a	
22	0.100000	0.455007	n/a	36.284000	n/a	88.616000	n/a	
23	0.100000	0.454013	n/a	36.794000	n/a	88.788000	n/a	
24	0.100000	0.453902	n/a	36.628000	n/a	88.950000	n/a	
25	0.100000	0.452893	n/a	37.074000	n/a	89.292000	n/a	
26	0.100000	0.453272	n/a	36.120000	n/a	89.288000	n/a	
27	0.100000	0.452315	n/a	36.732000	n/a	89.554000	n/a	
28	0.100000	0.451963	n/a	38.220000	n/a	89.576000	n/a	
29	0.100000	0.451991	n/a	38.116000	n/a	89.636000	n/a	
30	0.100000	0.452344	n/a	37.974000	n/a	89.654000	n/a	
31	0.100000	0.451356	n/a	38.404000	n/a	89.824000	n/a	
32	0.100000	0.451259	n/a	37.454000	n/a	89.748000	n/a	
33	0.100000	0.451059	n/a	37.054000	n/a	90.066000	n/a	
34	0.100000	0.452230	n/a	35.398000	n/a	89.784000	n/a	
35	0.100000	0.450704	n/a	36.038000	n/a	90.066000	n/a	
36	0.100000	0.451505	n/a	36.858000	n/a	90.160000	n/a	
37	0.100000	0.449646	n/a	36.748000	n/a	90.472000	n/a	
38	0.100000	0.448927	n/a	38.142000	n/a	90.506000	n/a	
39	0.100000	0.447462	n/a	39.574000	n/a	90.736000	n/a	
40	0.100000	0.448186	n/a	40.704000	n/a	90.630000	n/a	
41	0.100000	0.449053	n/a	40.788000	n/a	90.542000	n/a	
42	0.100000	0.448020	n/a	41.160000	n/a	90.672000	n/a	
43	0.100000	0.449033	n/a	39.000000	n/a	90.536000	n/a	
44	0.100000	0.446961	n/a	39.816000	n/a	91.066000	n/a	
45	0.100000	0.449219	n/a	40.360000	n/a	90.366000	n/a	
46	0.100000	0.447956	n/a	41.938000	n/a	90.716000	n/a	
47	0.100000	0.448639	n/a	41.086000	n/a	90.568000	n/a	
48	0.100000	0.448673	n/a	41.280000	n/a	90.684000	n/a	
49	0.100000	0.448084	n/a	43.832000	n/a	90.778000	n/a	
50	0.100000	0.448197	n/a	41.102000	n/a	90.906000	n/a	
51	0.100000	0.449022	n/a	41.368000	n/a	90.664000	n/a	
52	0.100000	0.448873	n/a	41.378000	n/a	90.740000	n/a	
53	0.100000	0.447840	n/a	42.090000	n/a	90.844000	n/a	
54	0.100000	0.447206	n/a	43.242000	n/a	91.106000	n/a	
55	0.100000	0.447959	n/a	44.012000	n/a	91.072000	n/a	
56	0.100000	0.449511	n/a	42.084000	n/a	90.564000	n/a	
57	0.100000	0.449920	n/a	41.434000	n/a	90.478000	n/a	
58	0.100000	0.448045	n/a	43.224000	n/a	90.884000	n/a	
59	0.100000	0.446482	n/a	43.642000	n/a	91.270000	n/a	
60	0.100000	0.448056	n/a	42.594000	n/a	91.032000	n/a	
61	0.100000	0.447824	n/a	41.574000	n/a	91.052000	n/a	
62	0.100000	0.447135	n/a	42.324000	n/a	91.176000	n/a	
63	0.100000	0.448150	n/a	41.630000	n/a	90.816000	n/a	
64	0.100000	0.447249	n/a	43.152000	n/a	91.036000	n/a	
